temperature_K,ground_truth_k,neural_network_k,hybrid_v40_k,training_data
300.0,0.000058,0.000058,0.000058,TRUE
325.0,0.000208,0.000208,0.000208,TRUE
350.0,0.000625,0.000624,0.000625,TRUE
375.0,0.001620,0.001617,0.001620,TRUE
400.0,0.003727,0.003734,0.003726,TRUE
425.0,0.007774,0.007791,0.007781,TRUE
450.0,0.014945,0.014927,0.014960,TRUE
475.0,0.026821,0.026896,0.026806,TRUE
500.0,0.045400,0.045356,0.045433,TRUE
525.0,0.073091,0.082925,0.073024,FALSE
550.0,0.112686,0.128432,0.112688,FALSE
600.0,0.240369,0.372166,0.240559,FALSE
650.0,0.456324,0.825951,0.456533,FALSE
700.0,0.790490,1.584571,0.790524,FALSE
750.0,1.272634,2.800185,1.273555,FALSE
800.0,1.930454,4.474434,1.931764,FALSE
900.0,3.865920,13.684044,3.862111,FALSE
1000.0,6.737947,25.766228,6.735577,FALSE
