equation_name,formula,domain,method,status,r2_score,time_sec
arrhenius,Arrhenius Equation: k = A*exp(-Ea/(R*T)),chemistry,Pure LLM,SUCCESS,1.000,6.8
arrhenius,Arrhenius Equation: k = A*exp(-Ea/(R*T)),chemistry,Neural Network,SUCCESS,1.000,22.1
arrhenius,Arrhenius Equation: k = A*exp(-Ea/(R*T)),chemistry,Hybrid v40,SUCCESS,0.999,221.9
henderson_hasselbalch,Henderson-Hasselbalch: pH = pKa + log10([A-]/[HA]),chemistry,Pure LLM,SUCCESS,1.000,7.0
henderson_hasselbalch,Henderson-Hasselbalch: pH = pKa + log10([A-]/[HA]),chemistry,Neural Network,SUCCESS,0.999,1.2
henderson_hasselbalch,Henderson-Hasselbalch: pH = pKa + log10([A-]/[HA]),chemistry,Hybrid v40,SUCCESS,0.999,25.5
rate_law,Rate Law: rate = k*[A]²*[B],chemistry,Pure LLM,SUCCESS,1.000,7.3
rate_law,Rate Law: rate = k*[A]²*[B],chemistry,Neural Network,SUCCESS,0.999,1.0
rate_law,Rate Law: rate = k*[A]²*[B],chemistry,Hybrid v40,SUCCESS,1.000,25.4
allometric_scaling,Allometric Scaling: Y = a*M^b (metabolic rate),biology,Pure LLM,SUCCESS,1.000,7.5
allometric_scaling,Allometric Scaling: Y = a*M^b (metabolic rate),biology,Neural Network,SUCCESS,1.000,1.7
allometric_scaling,Allometric Scaling: Y = a*M^b (metabolic rate),biology,Hybrid v40,SUCCESS,1.000,27.9
michaelis_menten,Michaelis-Menten: v = (Vmax*[S])/(Km+[S]),biology,Pure LLM,SUCCESS,1.000,6.6
michaelis_menten,Michaelis-Menten: v = (Vmax*[S])/(Km+[S]),biology,Neural Network,SUCCESS,1.000,1.0
michaelis_menten,Michaelis-Menten: v = (Vmax*[S])/(Km+[S]),biology,Hybrid v40,SUCCESS,1.000,25.0
logistic_growth,Logistic Growth: dN/dt = r*N*(1-N/K),biology,Pure LLM,SUCCESS,1.000,6.8
logistic_growth,Logistic Growth: dN/dt = r*N*(1-N/K),biology,Neural Network,SUCCESS,1.000,1.0
logistic_growth,Logistic Growth: dN/dt = r*N*(1-N/K),biology,Hybrid v40,SUCCESS,1.000,26.4
kinetic_energy,Kinetic Energy: KE = 0.5*m*v²,physics,Pure LLM,SUCCESS,1.000,6.0
kinetic_energy,Kinetic Energy: KE = 0.5*m*v²,physics,Neural Network,SUCCESS,1.000,1.0
kinetic_energy,Kinetic Energy: KE = 0.5*m*v²,physics,Hybrid v40,SUCCESS,1.000,27.1
gravitational_force,Gravitational Force: F = G*m1*m2/r²,physics,Pure LLM,SUCCESS,1.000,5.9
gravitational_force,Gravitational Force: F = G*m1*m2/r²,physics,Neural Network,SUCCESS,0.293,1.0
gravitational_force,Gravitational Force: F = G*m1*m2/r²,physics,Hybrid v40,FAILURE,-0.026,113.3
ideal_gas_law,Ideal Gas Law: P = nRT/V,physics,Pure LLM,SUCCESS,1.000,5.8
ideal_gas_law,Ideal Gas Law: P = nRT/V,physics,Neural Network,SUCCESS,0.814,1.0
ideal_gas_law,Ideal Gas Law: P = nRT/V,physics,Hybrid v40,SUCCESS,1.000,27.2
impermanent_loss,Impermanent Loss: IL = 2*sqrt(r)/(1+r) - 1,defi_amm,Pure LLM,SUCCESS,1.000,6.9
impermanent_loss,Impermanent Loss: IL = 2*sqrt(r)/(1+r) - 1,defi_amm,Neural Network,SUCCESS,1.000,1.1
impermanent_loss,Impermanent Loss: IL = 2*sqrt(r)/(1+r) - 1,defi_amm,Hybrid v40,SUCCESS,1.000,24.5
price_impact,Price Impact: impact = dx/(x+dx),defi_amm,Pure LLM,SUCCESS,1.000,7.0
price_impact,Price Impact: impact = dx/(x+dx),defi_amm,Neural Network,SUCCESS,0.999,1.0
price_impact,Price Impact: impact = dx/(x+dx),defi_amm,Hybrid v40,SUCCESS,1.000,20.6
constant_product,Constant Product: y = k/x,defi_amm,Pure LLM,SUCCESS,1.000,6.8
constant_product,Constant Product: y = k/x,defi_amm,Neural Network,SUCCESS,0.997,1.0
constant_product,Constant Product: y = k/x,defi_amm,Hybrid v40,SUCCESS,1.000,23.7
var_95,Value at Risk 95%: VaR = P*σ*1.645,defi_risk,Pure LLM,SUCCESS,1.000,7.0
var_95,Value at Risk 95%: VaR = P*σ*1.645,defi_risk,Neural Network,SUCCESS,1.000,1.1
var_95,Value at Risk 95%: VaR = P*σ*1.645,defi_risk,Hybrid v40,SUCCESS,1.000,24.7
liquidation_long,Liquidation Price LONG: liq = entry*(1 - 1/(L*0.8)),defi_risk,Pure LLM,SUCCESS,1.000,7.8
liquidation_long,Liquidation Price LONG: liq = entry*(1 - 1/(L*0.8)),defi_risk,Neural Network,SUCCESS,1.000,1.0
liquidation_long,Liquidation Price LONG: liq = entry*(1 - 1/(L*0.8)),defi_risk,Hybrid v40,SUCCESS,1.000,25.3
portfolio_var,Portfolio VaR: sqrt(var1² + var2² + 2ρ*var1*var2),defi_risk,Pure LLM,SUCCESS,1.000,7.7
portfolio_var,Portfolio VaR: sqrt(var1² + var2² + 2ρ*var1*var2),defi_risk,Neural Network,SUCCESS,0.999,1.0
portfolio_var,Portfolio VaR: sqrt(var1² + var2² + 2ρ*var1*var2),defi_risk,Hybrid v40,SUCCESS,0.995,152.5
