equation,method,training_r2,extrap_near_error,extrap_medium_error,extrap_far_error,mean_extrap_error,discovery_time_sec
arrhenius,Neural Network,1.000,8610174.4,3155562055.7,682339450940.1,228501207723.4,22.1
arrhenius,Hybrid v40,0.999,0.0,0.0,0.0,0.0,221.9
henderson_hasselbalch,Neural Network,0.999,3.9,9.5,30.4,14.6,1.2
henderson_hasselbalch,Hybrid v40,0.999,0.0,0.0,0.0,0.0,25.5
rate_law,Neural Network,0.999,340.1,2720.0,51761.6,18273.9,1.0
rate_law,Hybrid v40,1.000,0.0,0.0,0.0,0.0,25.4
allometric_scaling,Neural Network,1.000,5.4,66.5,509.9,193.9,1.7
allometric_scaling,Hybrid v40,1.000,0.0,0.0,0.0,0.0,27.9
michaelis_menten,Neural Network,1.000,22.9,96.4,421.4,180.2,1.0
michaelis_menten,Hybrid v40,1.000,0.0,0.0,0.0,0.0,25.0
logistic_growth,Neural Network,1.000,971.8,6818.5,70787.1,26192.5,1.0
logistic_growth,Hybrid v40,1.000,0.0,0.0,0.0,0.0,26.4
kinetic_energy,Neural Network,1.000,638.2,4804.2,93351.4,32931.3,1.0
kinetic_energy,Hybrid v40,1.000,0.0,0.0,0.0,0.0,27.1
gravitational_force,Neural Network,0.293,999999.0,999999.0,999999.0,999999.0,1.0
ideal_gas_law,Neural Network,0.814,0.5,1.8,6.6,3.0,1.0
ideal_gas_law,Hybrid v40,1.000,0.0,0.0,0.0,0.0,27.2
impermanent_loss,Neural Network,1.000,5.2,83.6,881.9,323.6,1.1
impermanent_loss,Hybrid v40,1.000,0.0,0.0,0.0,0.0,24.5
price_impact,Neural Network,0.999,15.0,44.4,163.9,74.4,1.0
price_impact,Hybrid v40,1.000,0.0,0.0,0.0,0.0,20.6
constant_product,Neural Network,0.997,2.1,6.8,21.7,10.2,1.0
constant_product,Hybrid v40,1.000,0.0,0.0,0.0,0.0,23.7
var_95,Neural Network,1.000,217.0,1139.7,11228.4,4195.0,1.1
var_95,Hybrid v40,1.000,0.0,0.0,0.0,0.0,24.7
liquidation_long,Neural Network,1.000,29.3,86.7,308.3,141.4,1.0
liquidation_long,Hybrid v40,1.000,0.0,0.0,0.0,0.0,25.3
portfolio_var,Neural Network,0.999,30.4,124.6,850.5,335.2,1.0
portfolio_var,Hybrid v40,0.995,0.0,0.0,0.0,0.0,152.5
