Description,Domain,Formula Type,LLM R²,NN R²,LLM RMSE,NN RMSE,Extrapolation,Winner,R² Difference
Impermanent loss in constant product AMM (Uniswap ,amm,algebraic_with_sqrt,1.0,0.9719566820047867,0.0,0.002801059614470646,True,LLM,0.028043317995213313
Impermanent loss percentage in AMM,amm,algebraic_with_sqrt,-1.2604858371063736,0.4026241292507404,2.681905372073676,1.5698936333336,False,NN,-1.663109966357114
Constant product formula: reserve Y given reserve ,amm,algebraic,1.0,0.2078086573522825,0.0,55384.72895776391,False,LLM,0.7921913426477175
Price impact of swap in constant product AMM,amm,algebraic,1.0,-260606.24286436432,5.167308918986639e-17,29.34021726777024,False,LLM,260607.24286436432
Parametric Value at Risk at 95% confidence (1-day),risk_var,linear,-10.052869054032362,0.6865453912876864,58100.341602613466,10198.446758173626,True,NN,-10.739414445320048
Parametric Value at Risk at 99% confidence (1-day),risk_var,linear,1.0,0.4932648795057136,0.0,17558.080555833014,False,LLM,0.5067351204942864
Multi-day Value at Risk using square root of time ,risk_var,power_law,1.0,0.803584896028116,0.0,34192.153818760526,False,LLM,0.196415103971884
Portfolio VaR for two correlated assets,risk_var,algebraic_with_sqrt,,0.874070686246871,,5275.41356722968,False,N/A,
Optimal LP position size using risk-adjusted Kelly,liquidity,algebraic,,0.0,,0.01179884405643312,True,N/A,
LP fee earnings based on liquidity share,liquidity,algebraic,1.0,-375.4933819058939,0.0,42037.79224065909,False,LLM,376.4933819058939
Capital efficiency multiplier for concentrated liq,liquidity,algebraic,,-2.934565085541585,,1.9306501271374783,False,N/A,
APY calculation from APR with daily compounding,liquidity,exponential,1.0,0.9999129083384337,0.0,0.001487007065710474,False,Tie,8.709166156628534e-05
Expected Shortfall (CVaR) at 95% confidence for no,expected_shortfall,linear,,0.6865450084378404,,12789.913988295406,True,N/A,
Expected Shortfall (CVaR) at 99% confidence for no,expected_shortfall,linear,,0.49325671255931947,,20117.223452545655,False,N/A,
Expected Shortfall from VaR using tail risk multip,expected_shortfall,linear,-7.870688120085939,0.9999999879289417,112118.39324562787,4.338229868979078,False,NN,-8.87068810801488
Portfolio Expected Shortfall for correlated positi,expected_shortfall,algebraic_with_sqrt,,0.7828018204241333,,11760.291739504311,False,N/A,
Liquidation price for leveraged long position,liquidation,algebraic,,0.800265562130676,,4938.757904349503,True,N/A,
Liquidation price for leveraged short position,liquidation,algebraic,,0.8384098953992969,,7009.078542196043,False,N/A,
Maximum safe leverage for given acceptable loss to,liquidation,algebraic,,-1.3622776946505017,,5.663784501986187,False,N/A,
Required collateral for leveraged position,liquidation,algebraic,,0.257099623125316,,5222.732715046866,False,N/A,
