date,price_usd,timestamp,volatility_30d,volatility_7d,volume_24h
2024-08-01,1816.61,1722466800,0.4202,0.5436,1772186036.34
2024-08-02,1810.44,1722553200,0.5074,0.4491,1649270277.38
2024-08-03,1738.03,1722639600,0.7065,0.4877,814768530.29
2024-08-04,1694.12,1722726000,0.6659,0.4375,1506686062.94
2024-08-05,1814.04,1722812400,0.7,0.6001,1339438645.33
2024-08-06,1790.72,1722898800,0.3036,0.5152,1914916728.11
2024-08-07,1842.49,1722985200,0.5337,0.4032,1838364657.08
2024-08-08,1906.98,1723071600,0.6067,0.4026,575684015.89
2024-08-09,1943.74,1723158000,0.3275,0.2923,1836913841.88
2024-08-10,1948.7,1723244400,0.8694,0.5309,998498143.45
2024-08-11,1933.44,1723330800,0.292,0.4676,1884175987.05
2024-08-12,2023.93,1723417200,0.6489,0.5559,1547899113.61
2024-08-13,1925.13,1723503600,0.5139,0.529,1205818812.16
2024-08-14,1913.58,1723590000,0.9579,0.5862,1045174018.21
2024-08-15,1998.81,1723676400,0.5558,0.395,987141632.88
2024-08-16,2064.7,1723762800,0.7314,0.422,1768649393.74
2024-08-17,2013.54,1723849200,0.4572,0.4341,1108528973.36
2024-08-18,2002.31,1723935600,0.6149,0.2555,953177189.82
2024-08-19,2052.17,1724022000,0.5582,0.3949,738530434.38
2024-08-20,2155.98,1724108400,0.5179,0.6426,1146722746.47
2024-08-21,2225.43,1724194800,0.263,0.331,759628184.09
2024-08-22,2096.35,1724281200,0.4493,0.3404,671484290.72
2024-08-23,2158.46,1724367600,0.7007,0.2819,962053585.3
2024-08-24,2071.15,1724454000,0.8045,0.3491,1729798593.14
2024-08-25,2105.13,1724540400,0.387,0.2301,708375106.24
2024-08-26,2023.52,1724626800,0.5983,0.3309,1491322090.65
2024-08-27,1967.21,1724713200,0.4325,0.5409,808492522.85
2024-08-28,1893.71,1724799600,0.4267,0.67,1877752433.83
2024-08-29,1859.21,1724886000,0.3959,0.3129,1374090466.74
2024-08-30,1794.64,1724972400,0.2446,0.7698,593615837.8
2024-08-31,1821.59,1725058800,0.6536,0.5443,1968044344.63
2024-09-01,1855.54,1725145200,0.3266,0.2829,1385245811.88
2024-09-02,1875.9,1725231600,0.647,0.488,816824112.04
2024-09-03,1808.73,1725318000,0.632,0.3426,1040431832.97
2024-09-04,1798.72,1725404400,0.4604,0.4002,517404128.67
2024-09-05,1769.76,1725490800,0.6319,0.5036,1962462540.61
2024-09-06,1686.51,1725577200,0.1153,0.3335,1840373703.71
2024-09-07,1637.66,1725663600,0.3717,0.513,1136187026.86
2024-09-08,1694.62,1725750000,0.5538,0.207,511144987.25
2024-09-09,1655.72,1725836400,0.5259,0.4153,1889846677.48
2024-09-10,1690.97,1725922800,0.3031,0.1145,1052867898.12
2024-09-11,1757.92,1726009200,0.2923,0.6086,1289612080.72
2024-09-12,1820.07,1726095600,0.4543,0.3633,1285035191.74
2024-09-13,1746.4,1726182000,0.3221,0.3748,1503075708.58
2024-09-14,1694.15,1726268400,0.5436,0.4284,1855377908.91
2024-09-15,1693.7,1726354800,0.7127,0.3814,1360947952.42
2024-09-16,1705.19,1726441200,0.2961,0.3815,751262244.23
2024-09-17,1783.2,1726527600,0.3592,0.3145,890664704.83
2024-09-18,1728.84,1726614000,0.5031,0.4472,937629813.06
2024-09-19,1725.91,1726700400,0.401,0.4741,615293389.39
2024-09-20,1691.39,1726786800,0.2782,0.439,885433580.89
2024-09-21,1673.69,1726873200,0.6407,0.3863,1488733460.53
2024-09-22,1643.44,1726959600,0.5411,0.4117,771213786.3
2024-09-23,1676.62,1727046000,0.2067,0.5746,1393316137.8
2024-09-24,1628.37,1727132400,0.2776,0.3215,1074750489.42
2024-09-25,1697.92,1727218800,0.6025,0.5608,1762749552.86
2024-09-26,1688.51,1727305200,0.5838,0.2813,1196022392.05
2024-09-27,1691.48,1727391600,0.3682,0.3895,850491967.57
2024-09-28,1755.42,1727478000,0.8968,0.3853,1152101494.5
2024-09-29,1778.63,1727564400,0.5252,0.5153,1295380134.32
2024-09-30,1756.14,1727650800,0.3641,0.2825,1766358924.27
2024-10-01,1799.09,1727737200,0.8148,0.4433,1703474541.36
2024-10-02,1796.09,1727823600,0.2474,0.3287,862695452.58
2024-10-03,1762.72,1727910000,0.5769,0.4415,1989822270.5
2024-10-04,1773.91,1727996400,0.5019,0.2247,1116873149.92
2024-10-05,1829.2,1728082800,0.609,0.6537,877844160.72
2024-10-06,1881.65,1728169200,0.8147,0.492,1840950446.23
2024-10-07,2017.95,1728255600,0.4313,0.3347,629579561.09
