date,timestamp,price_usd,volume_24h,volatility_7d,volatility_30d
2024-08-01,1722466800,1816.61,1772186036.34,0.5436,0.4202
2024-08-02,1722553200,1810.44,1649270277.38,0.4491,0.5074
2024-08-03,1722639600,1738.03,814768530.29,0.4877,0.7065
2024-08-04,1722726000,1694.12,1506686062.94,0.4375,0.6659
2024-08-05,1722812400,1814.04,1339438645.33,0.6001,0.7
2024-08-06,1722898800,1790.72,1914916728.11,0.5152,0.3036
2024-08-07,1722985200,1842.49,1838364657.08,0.4032,0.5337
2024-08-08,1723071600,1906.98,575684015.89,0.4026,0.6067
2024-08-09,1723158000,1943.74,1836913841.88,0.2923,0.3275
2024-08-10,1723244400,1948.7,998498143.45,0.5309,0.8694
2024-08-11,1723330800,1933.44,1884175987.05,0.4676,0.292
2024-08-12,1723417200,2023.93,1547899113.61,0.5559,0.6489
2024-08-13,1723503600,1925.13,1205818812.16,0.529,0.5139
2024-08-14,1723590000,1913.58,1045174018.21,0.5862,0.9579
2024-08-15,1723676400,1998.81,987141632.88,0.395,0.5558
2024-08-16,1723762800,2064.7,1768649393.74,0.422,0.7314
2024-08-17,1723849200,2013.54,1108528973.36,0.4341,0.4572
2024-08-18,1723935600,2002.31,953177189.82,0.2555,0.6149
2024-08-19,1724022000,2052.17,738530434.38,0.3949,0.5582
2024-08-20,1724108400,2155.98,1146722746.47,0.6426,0.5179
2024-08-21,1724194800,2225.43,759628184.09,0.331,0.263
2024-08-22,1724281200,2096.35,671484290.72,0.3404,0.4493
2024-08-23,1724367600,2158.46,962053585.3,0.2819,0.7007
2024-08-24,1724454000,2071.15,1729798593.14,0.3491,0.8045
2024-08-25,1724540400,2105.13,708375106.24,0.2301,0.387
2024-08-26,1724626800,2023.52,1491322090.65,0.3309,0.5983
2024-08-27,1724713200,1967.21,808492522.85,0.5409,0.4325
2024-08-28,1724799600,1893.71,1877752433.83,0.67,0.4267
2024-08-29,1724886000,1859.21,1374090466.74,0.3129,0.3959
2024-08-30,1724972400,1794.64,593615837.8,0.7698,0.2446
2024-08-31,1725058800,1821.59,1968044344.63,0.5443,0.6536
2024-09-01,1725145200,1855.54,1385245811.88,0.2829,0.3266
2024-09-02,1725231600,1875.9,816824112.04,0.488,0.647
2024-09-03,1725318000,1808.73,1040431832.97,0.3426,0.632
