Timestamp,Expression,R² Score,Complexity,Validation Score,Valid,Interpretation,Provider,Domain
2025-12-14T12:34:33.546225,(-0.014252516 + 0.02163833/w3)*exp(w1*3.4212418 + (w1 + w2)*(-0.65453327))**w2,0.8507580576446463,18,87.7,True,This expression calculates a risk-adjusted portfolio metric that combines a base risk measure with w,anthropic,risk
2025-12-14T12:35:06.142669,mu + sigma*(-1.6404055),0.9992697411960482,5,94.0,True,This expression calculates a risk-adjusted return measure that represents the expected return minus ,anthropic,risk
2025-12-14T12:35:27.773583,mu*((-0.81414884 - (-0.8096013)*exp(-0.41028166/sigma))*(mu + (mu + 0.99172485)*(-2.048064)) - (-1)*0.41028166/sigma),0.9699824719072261,22,82.9,False,,,risk
2025-12-14T12:35:49.920887,sigma*(-exp(-0.013332616/sigma - 0.34683973/mu) + (mu + 0.06971537)/mu)*2.3919518,0.9946149096292368,18,82.0,False,,,risk
2025-12-14T12:36:15.513332,0.218811390270683*exp(-1.9543741*w2/w3)**(1/4) + log(sqrt(exp(w1*w2/w3))),0.9924935832371383,19,73.69999999999999,False,,,risk
2025-12-14T12:36:46.682024,mu + sigma*(-2.5571208),0.997700881157357,5,94.0,True,"This expression calculates a downside risk threshold or stress-test scenario, representing the expec",anthropic,risk
2025-12-14T12:37:25.275645,w2*w2 + w3*w3 + exp(w1*w1*0.4159608),0.7227640901161361,14,91.3,True,This expression calculates a modified portfolio risk measure that combines quadratic risk contributi,anthropic,risk
2025-12-14T12:38:02.875399,w1*w1 + w4*w4 + 2.2396371,0.47974146088000535,9,100.0,True,This expression calculates a partial risk measure focusing on the squared exposure contributions of ,anthropic,risk
2025-12-14T12:38:35.850157,(w1 + w2 + w3)*0.33380073,0.9988060089279501,7,91.9,True,"This expression calculates approximately one-third of the total portfolio weight, representing an eq",anthropic,risk
2025-12-14T12:39:11.519842,mu + sigma*(-1.9733043),0.9988668824076892,5,94.0,True,"This expression calculates a downside risk threshold or Value-at-Risk (VaR) measure, representing a ",anthropic,risk
2025-12-14T12:39:46.039150,mu + sigma*(-1.6422455),0.9998164072570723,5,94.0,True,"This expression calculates a downside risk threshold or Value-at-Risk (VaR) measure, representing th",anthropic,risk
2025-12-14T12:40:26.978938,-w1 + log(exp(w3**2 + w4**2 + exp(w1))) + 0.92301697,0.696668440275521,16,88.0,True,This expression calculates a risk-adjusted portfolio metric that penalizes concentration in Asset 1 ,anthropic,risk
2025-12-14T12:41:02.896447,(w1 + w2 + w3)*0.3345475,0.9994929126321545,7,91.9,True,This expression calculates a weighted portfolio risk measure by applying a constant scaling factor (,anthropic,risk
2025-12-14T12:41:36.840634,(w1 + w2 + w3)*0.33201307,0.9987077148410298,7,91.9,True,"This expression calculates approximately one-third of the total portfolio weight allocation, suggest",anthropic,risk
2025-12-14T12:42:15.813953,w1*w1*1.0573066 + w2*w2 + w3*w3 - w4 + w4*(-0.41552454) + exp(w4) - 0.36353886 - 0.2035765,0.9754149355615707,26,90.7,True,This expression calculates a modified portfolio risk measure that combines quadratic weight penaltie,anthropic,risk
