description,analytical_formula,category
Calculate the constant product for a token pair in an AMM,k = x * y,Constant Product
Constant product with 0.2% fee,k = x * y * (1 - 0.0020),Constant Product
Constant product with 0.3% fee,k = x * y * (1 - 0.0030),Constant Product
Constant product with 0.4% fee,k = x * y * (1 - 0.0040),Constant Product
Constant product with 0.5% fee,k = x * y * (1 - 0.0050),Constant Product
Constant product with 0.6% fee,k = x * y * (1 - 0.0060),Constant Product
Constant product with 0.7% fee,k = x * y * (1 - 0.0070),Constant Product
Constant product with 0.8% fee,k = x * y * (1 - 0.0080),Constant Product
Constant product with 0.9% fee,k = x * y * (1 - 0.0090),Constant Product
Constant product with 1.0% fee,k = x * y * (1 - 0.0100),Constant Product
Constant product in 10^4 reserve pool,"k = x * y with pool_min=10000, pool_max=100000",Constant Product
Constant product in 10^5 reserve pool,"k = x * y with pool_min=100000, pool_max=1000000",Constant Product
Constant product in 10^6 reserve pool,"k = x * y with pool_min=1000000, pool_max=10000000",Constant Product
Constant product in 10^7 reserve pool,"k = x * y with pool_min=10000000, pool_max=100000000",Constant Product
Constant product in 10^8 reserve pool,"k = x * y with pool_min=100000000, pool_max=1000000000",Constant Product
Constant product in 10^9 reserve pool,"k = x * y with pool_min=1000000000, pool_max=10000000000",Constant Product
Constant product in 10^10 reserve pool,"k = x * y with pool_min=10000000000, pool_max=100000000000",Constant Product
Constant product in 10^11 reserve pool,"k = x * y with pool_min=100000000000, pool_max=1000000000000",Constant Product
Constant product in 10^12 reserve pool,"k = x * y with pool_min=1000000000000, pool_max=10000000000000",Constant Product
Constant product with 1% price slippage,k = x * y + ε * 1,Constant Product
Constant product with 2% price slippage,k = x * y + ε * 2,Constant Product
Constant product with 3% price slippage,k = x * y + ε * 3,Constant Product
Constant product with 4% price slippage,k = x * y + ε * 4,Constant Product
Constant product with 5% price slippage,k = x * y + ε * 5,Constant Product
Constant product with 6% price slippage,k = x * y + ε * 6,Constant Product
Constant product with 7% price slippage,k = x * y + ε * 7,Constant Product
Constant product with 8% price slippage,k = x * y + ε * 8,Constant Product
Constant product with 9% price slippage,k = x * y + ε * 9,Constant Product
Constant product with 10% price slippage,k = x * y + ε * 10,Constant Product
Calculate constant sum invariant for stablecoin pairs,k = x + y,Constant Sum
Weighted constant sum 0.26:0.74,k = 0.26*x + 0.74*y,Constant Sum
Weighted constant sum 0.32:0.68,k = 0.32*x + 0.68*y,Constant Sum
Weighted constant sum 0.38:0.62,k = 0.38*x + 0.62*y,Constant Sum
Weighted constant sum 0.44:0.56,k = 0.44*x + 0.56*y,Constant Sum
Weighted constant sum 0.50:0.50,k = 0.50*x + 0.50*y,Constant Sum
Weighted constant sum 0.56:0.44,k = 0.56*x + 0.44*y,Constant Sum
Weighted constant sum 0.62:0.38,k = 0.62*x + 0.38*y,Constant Sum
Weighted constant sum 0.68:0.32,k = 0.68*x + 0.32*y,Constant Sum
Weighted constant sum 0.74:0.26,k = 0.74*x + 0.26*y,Constant Sum
Weighted constant sum 0.80:0.20,k = 0.80*x + 0.20*y,Constant Sum
Weighted constant sum 0.86:0.14,k = 0.86*x + 0.14*y,Constant Sum
Weighted constant sum 0.92:0.08,k = 0.92*x + 0.08*y,Constant Sum
Constant sum in $1e+03 pool,"k = x + y, pool_value=1000",Constant Sum
Constant sum in $1e+04 pool,"k = x + y, pool_value=10000",Constant Sum
Constant sum in $1e+05 pool,"k = x + y, pool_value=100000",Constant Sum
Constant sum in $1e+06 pool,"k = x + y, pool_value=1000000",Constant Sum
Constant sum in $1e+07 pool,"k = x + y, pool_value=10000000",Constant Sum
Constant sum in $1e+08 pool,"k = x + y, pool_value=100000000",Constant Sum
Constant sum in $1e+09 pool,"k = x + y, pool_value=1000000000",Constant Sum
Constant sum in $1e+10 pool,"k = x + y, pool_value=10000000000",Constant Sum
Constant sum in $1e+11 pool,"k = x + y, pool_value=100000000000",Constant Sum
Constant sum in $1e+12 pool,"k = x + y, pool_value=1000000000000",Constant Sum
Constant sum in $1e+13 pool,"k = x + y, pool_value=10000000000000",Constant Sum
Constant sum in $1e+14 pool,"k = x + y, pool_value=100000000000000",Constant Sum
Calculate constant mean for multi-asset pool,(x * y * z)^(1/3) = k,Constant Mean
Three-asset constant mean variant 1,"(x * y * z)^(1/3) = k, scaling=1",Constant Mean
Three-asset constant mean variant 2,"(x * y * z)^(1/3) = k, scaling=2",Constant Mean
Three-asset constant mean variant 3,"(x * y * z)^(1/3) = k, scaling=3",Constant Mean
Three-asset constant mean variant 4,"(x * y * z)^(1/3) = k, scaling=4",Constant Mean
Four-asset constant mean variant 1,"(x * y * z * w)^(1/4) = k, scaling=1",Constant Mean
Four-asset constant mean variant 2,"(x * y * z * w)^(1/4) = k, scaling=2",Constant Mean
Four-asset constant mean variant 3,"(x * y * z * w)^(1/4) = k, scaling=3",Constant Mean
Four-asset constant mean variant 4,"(x * y * z * w)^(1/4) = k, scaling=4",Constant Mean
Five-asset constant mean variant 1,"(x * y * z * w * v)^(1/5) = k, scaling=1",Constant Mean
Five-asset constant mean variant 2,"(x * y * z * w * v)^(1/5) = k, scaling=2",Constant Mean
Five-asset constant mean variant 3,"(x * y * z * w * v)^(1/5) = k, scaling=3",Constant Mean
Five-asset constant mean variant 4,"(x * y * z * w * v)^(1/5) = k, scaling=4",Constant Mean
Two-asset constant mean variant 1,"(x * y)^(1/2) = k, power=0.5",Constant Mean
Two-asset constant mean variant 2,"(x * y)^(1/2) = k, power=0.5",Constant Mean
Two-asset constant mean variant 3,"(x * y)^(1/2) = k, power=0.5",Constant Mean
Two-asset constant mean variant 4,"(x * y)^(1/2) = k, power=0.5",Constant Mean
Two-asset constant mean variant 5,"(x * y)^(1/2) = k, power=0.5",Constant Mean
Curve Finance StableSwap formula,A*(x+y) + xy = A*k^2,StableSwap Hybrid
StableSwap amplification A=1 variant 1,"A*(x+y) + xy = A*k^2, A=1",StableSwap Hybrid
StableSwap amplification A=1 variant 2,"A*(x+y) + xy = A*k^2, A=1",StableSwap Hybrid
StableSwap amplification A=1 variant 3,"A*(x+y) + xy = A*k^2, A=1",StableSwap Hybrid
StableSwap amplification A=50 variant 1,"A*(x+y) + xy = A*k^2, A=50",StableSwap Hybrid
StableSwap amplification A=50 variant 2,"A*(x+y) + xy = A*k^2, A=50",StableSwap Hybrid
StableSwap amplification A=50 variant 3,"A*(x+y) + xy = A*k^2, A=50",StableSwap Hybrid
StableSwap amplification A=100 variant 1,"A*(x+y) + xy = A*k^2, A=100",StableSwap Hybrid
StableSwap amplification A=100 variant 2,"A*(x+y) + xy = A*k^2, A=100",StableSwap Hybrid
StableSwap amplification A=100 variant 3,"A*(x+y) + xy = A*k^2, A=100",StableSwap Hybrid
StableSwap amplification A=200 variant 1,"A*(x+y) + xy = A*k^2, A=200",StableSwap Hybrid
StableSwap amplification A=200 variant 2,"A*(x+y) + xy = A*k^2, A=200",StableSwap Hybrid
StableSwap amplification A=200 variant 3,"A*(x+y) + xy = A*k^2, A=200",StableSwap Hybrid
StableSwap amplification A=400 variant 1,"A*(x+y) + xy = A*k^2, A=400",StableSwap Hybrid
StableSwap amplification A=400 variant 2,"A*(x+y) + xy = A*k^2, A=400",StableSwap Hybrid
StableSwap amplification A=400 variant 3,"A*(x+y) + xy = A*k^2, A=400",StableSwap Hybrid
StableSwap amplification A=600 variant 1,"A*(x+y) + xy = A*k^2, A=600",StableSwap Hybrid
StableSwap amplification A=600 variant 2,"A*(x+y) + xy = A*k^2, A=600",StableSwap Hybrid
StableSwap amplification A=600 variant 3,"A*(x+y) + xy = A*k^2, A=600",StableSwap Hybrid
