,Description,Formulas
0,Sum of Sepal Length,SUM(Sepal Length)
1,Average Sepal Width across all entries,AVG(Sepal Width)
2,Find the median Petal Length,MEDIAN(Petal Length)
3,Count the number of records in the dataset,COUNT(*)
4,Count distinct species in the dataset,COUNT DISTINCT(Species)
5,Minimum value of Sepal Length,MIN(Sepal Length)
6,Maximum Petal Width found in the dataset,MAX(Petal Width)
7,Group records by Species,GROUP BY(Species)
8,Sort the entries by Sepal Length in ascending order,ORDER BY(Sepal Length ASC)
9,List Species alphabetically,ORDER BY(Species ASC)
10,Entries with Sepal Length at least 5.0,Sepal Length >= 5.0
11,Entries with Petal Length between 1.5 and 2.5,Petal Length BETWEEN 1.5 AND 2.5
12,Top 3 entries with the highest Sepal Width,TOP 3 BY(Sepal Width DESC)
13,Species is 'Setosa',Species = 'Setosa'
14,Species starts with 'Se',Species STARTS WITH 'Se'
15,Calculate the total of Petal Lengths, SUM([Petal Length])
16,What is the average Petal Width?, AVG([Petal Width])
17,Determine the middle value of Sepal Widths,MEDIAN([Sepal Width])
18,How many data points are there?,COUNT([Sepal Length])
19,Number of unique flower types,COUNTD([Species])
20,Lowest Sepal Length recorded,MIN([Sepal Length])
21,Highest value of Petal Width found,MAX([Petal Width])
22,Organize data by Species in descending order,"SORT([Species], DESC)"
23,Rank Sepal Lengths from low to high,"SORT([Sepal Length], ASC)"
24,Filter for Sepal Length greater than or equal to 4.5,[Sepal Length] >= 4.5
25,Select entries with Petal Width less than 2.0,[Petal Width] < 2.0
26,Show entries where Sepal Width is not 3.0,[Sepal Width] != 3.0
27,List all where the Species name ends with 'ica',"ENDSWITH([Species], ""ica"")"
28,Entries with a Sepal Length of exactly 5.0,[Sepal Length] = 5.0
29,Display the top 5 Species by Sepal Width, INDEX() <= 5 SORT BY SUM([Sepal Width]) DESC
30,Find the 3 smallest Petal Lengths, INDEX() <= 3 SORT BY [Petal Length] ASC
31,Count occurrences where Petal Length is between 4 and 5,IF [Petal Length] >= 4 AND [Petal Length] <= 5 THEN 1 ELSE 0 END
